date,line,metal,throughput,scrap_rate,yield_rate
2025-06-20,Line 2,Titanium,88,0.0405,0.9595
2025-06-20,Line 2,Stainless Steel,96,0.014,0.986
2025-06-20,Line 3,Aluminum,86,0.027,0.973
2025-06-20,Line 3,Titanium,119,0.0129,0.9871
2025-06-20,Line 3,Stainless Steel,106,0.0382,0.9618
2025-06-21,Line 1,Aluminum,84,0.0305,0.9695
2025-06-21,Line 1,Titanium,117,0.0495,0.9505
2025-06-21,Line 1,Stainless Steel,80,0.0452,0.9548
2025-06-21,Line 2,Aluminum,96,0.0479,0.9521
2025-06-21,Line 2,Titanium,104,0.0337,0.9663
2025-06-21,Line 2,Stainless Steel,115,0.0251,0.9749
2025-06-21,Line 3,Aluminum,110,0.0293,0.9707
2025-06-21,Line 3,Titanium,118,0.027,0.973
2025-06-21,Line 3,Stainless Steel,105,0.0232,0.9768
2025-06-22,Line 1,Aluminum,82,0.0201,0.9799
2025-06-22,Line 1,Titanium,107,0.0329,0.9671
2025-06-22,Line 1,Stainless Steel,99,0.0148,0.9852
2025-06-22,Line 2,Aluminum,120,0.0398,0.9602
2025-06-22,Line 2,Titanium,82,0.0333,0.9667
2025-06-22,Line 2,Stainless Steel,104,0.0447,0.9553
2025-06-22,Line 3,Aluminum,117,0.0275,0.9725
2025-06-22,Line 3,Titanium,111,0.0322,0.9678
2025-06-22,Line 3,Stainless Steel,100,0.0117,0.9883
2025-06-23,Line 1,Aluminum,100,0.0497,0.9503
2025-06-23,Line 1,Titanium,116,0.0201,0.9799
2025-06-23,Line 1,Stainless Steel,98,0.0488,0.9512
2025-06-23,Line 2,Aluminum,97,0.0166,0.9834
2025-06-23,Line 2,Titanium,93,0.0218,0.9782
2025-06-23,Line 2,Stainless Steel,80,0.0351,0.9649
2025-06-23,Line 3,Aluminum,82,0.046,0.954
2025-06-23,Line 3,Titanium,90,0.0212,0.9788
2025-06-23,Line 3,Stainless Steel,111,0.0123,0.9877
